company,car_model,year,kms_driven,fuel_type,transmission,owners,service_history,previous_accidents,insurance,price
ford,endeavour,2019.0,98391.0,petrol,automatic,3.0,True,True,third-party,2655241.35
honda,civic,2006.0,164265.0,petrol,manual,1.0,False,True,third-party,50000.0
audi,q5,2017.0,169887.0,petrol,manual,2.0,False,True,third-party,5524516.95
toyota,corolla,2000.0,62229.0,cng,manual,1.0,False,False,comprehensive,50000.0
bmw,m3,2012.0,38092.0,electric,automatic,2.0,False,True,nan,6844286.2
nissan,terrano,2011.0,168658.0,electric,manual,1.0,True,False,third-party,674701.3
hyundai,verna,2006.0,147280.0,cng,manual,2.0,False,False,comprehensive,50000.0
audi,a4,2016.0,97215.0,electric,manual,3.0,True,True,nan,4055417.75
honda,jazz,2010.0,173096.0,diesel,manual,1.0,True,False,comprehensive,74035.6
tata,altroz,2023.0,88011.0,cng,automatic,2.0,True,False,comprehensive,506798.35
nissan,terrano,2011.0,88776.0,petrol,automatic,1.0,True,False,nan,636683.6
audi,q5,2013.0,92748.0,cng,manual,1.0,True,True,comprehensive,5436087.8
tata,altroz,2021.0,58163.0,electric,manual,3.0,False,False,comprehensive,441275.55
hyundai,verna,2015.0,115664.0,cng,automatic,3.0,False,True,comprehensive,382650.4
tata,harrier,2020.0,70476.0,petrol,manual,3.0,True,True,comprehensive,1459428.6
bmw,3 series,2013.0,121161.0,petrol,automatic,2.0,False,True,comprehensive,3331825.85
honda,civic,2012.0,80020.0,cng,automatic,2.0,False,False,comprehensive,87997.0
hyundai,elantra,2005.0,77861.0,petrol,manual,2.0,False,True,nan,288320.85
mercedes,s-class,2015.0,43296.0,diesel,automatic,3.0,False,False,third-party,9493505.6
bmw,3 series,2011.0,61777.0,cng,automatic,2.0,False,True,nan,3290733.45
toyota,fortuner,2019.0,73882.0,electric,automatic,2.0,False,True,comprehensive,3138917.7
hyundai,creta,2008.0,44008.0,electric,manual,1.0,True,False,comprehensive,693398.8
tata,harrier,2016.0,26283.0,electric,manual,2.0,True,False,comprehensive,1266057.55
maruti,vitara brezza,2007.0,123301.0,diesel,manual,3.0,False,False,comprehensive,50000.0
mercedes,s-class,2003.0,148243.0,electric,manual,1.0,False,True,comprehensive,8857763.55
maruti,swift,2012.0,180228.0,diesel,automatic,1.0,True,True,comprehensive,50000.0
toyota,fortuner,2004.0,15305.0,cng,automatic,2.0,True,True,third-party,2467704.25
honda,jazz,2016.0,16781.0,cng,automatic,2.0,True,True,comprehensive,267482.85
nissan,magnite,2002.0,181940.0,petrol,automatic,2.0,False,True,comprehensive,50000.0
nissan,terrano,2007.0,107762.0,diesel,automatic,3.0,False,False,comprehensive,383835.7
hyundai,verna,2019.0,67868.0,electric,manual,2.0,True,True,third-party,559819.8
ford,endeavour,2024.0,13538.0,diesel,automatic,1.0,False,True,comprehensive,2927969.3
toyota,fortuner,2011.0,86659.0,electric,manual,2.0,False,False,comprehensive,2837001.15
honda,civic,2008.0,45587.0,petrol,manual,1.0,False,False,comprehensive,50000.0
tata,nexon,2014.0,9295.0,electric,manual,3.0,True,True,comprehensive,318605.75
audi,q5,2016.0,62688.0,cng,manual,3.0,False,False,third-party,5540596.8
bmw,m3,2015.0,120365.0,petrol,manual,3.0,False,True,third-party,6931945.25
hyundai,creta,2019.0,122397.0,diesel,manual,1.0,False,False,comprehensive,1261640.45
hyundai,verna,2015.0,50685.0,diesel,automatic,1.0,True,False,comprehensive,492397.25
mercedes,s-class,2020.0,185514.0,diesel,automatic,3.0,True,True,comprehensive,9742172.9
bmw,3 series,2006.0,76997.0,electric,manual,2.0,True,True,third-party,3008450.45
ford,ecosport,2024.0,89434.0,electric,automatic,2.0,True,False,comprehensive,800000.0
bmw,x5,2021.0,158192.0,electric,automatic,1.0,False,True,nan,7756271.2
honda,jazz,2016.0,51225.0,cng,automatic,2.0,False,True,third-party,292316.25
nissan,terrano,2021.0,103128.0,cng,automatic,3.0,True,True,comprehensive,1054530.8
bmw,3 series,2002.0,181043.0,petrol,manual,3.0,False,False,comprehensive,2822843.55
bmw,3 series,2024.0,192460.0,diesel,automatic,1.0,True,False,nan,3971131.0
tata,nexon,2008.0,194444.0,diesel,manual,1.0,True,False,third-party,70833.4
mercedes,e-class,2015.0,95582.0,petrol,manual,3.0,True,False,comprehensive,6005662.7
honda,jazz,2023.0,108134.0,cng,automatic,2.0,True,True,comprehensive,603779.9
mercedes,c-class,2012.0,74258.0,petrol,manual,1.0,True,False,nan,4388861.3
nissan,magnite,2012.0,139564.0,cng,automatic,2.0,False,False,third-party,50000.0
honda,jazz,2016.0,105787.0,electric,manual,3.0,False,False,nan,284131.95
toyota,corolla,2008.0,182762.0,electric,automatic,2.0,True,True,comprehensive,342585.7
audi,a4,2014.0,20724.0,petrol,automatic,2.0,True,False,third-party,4016891.4
audi,a6,2013.0,139777.0,cng,automatic,2.0,False,True,comprehensive,4829033.45
mercedes,s-class,2012.0,15596.0,electric,manual,3.0,False,False,comprehensive,9397660.6
tata,altroz,2023.0,75575.0,electric,manual,2.0,True,False,comprehensive,558663.75
audi,a6,2023.0,5755.0,diesel,automatic,3.0,False,True,third-party,5349136.75
mercedes,e-class,2011.0,109063.0,cng,manual,3.0,True,False,third-party,5803640.55
tata,harrier,2018.0,147484.0,diesel,manual,1.0,False,True,third-party,1307877.4
ford,endeavour,2008.0,117330.0,electric,automatic,1.0,False,True,third-party,2112400.5
hyundai,elantra,2003.0,93089.0,electric,automatic,2.0,False,False,comprehensive,186036.65
mercedes,c-class,2002.0,135837.0,petrol,manual,3.0,False,True,comprehensive,3779624.45
ford,ecosport,2016.0,180623.0,diesel,automatic,1.0,False,False,third-party,402906.55
ford,fiesta,2016.0,117282.0,electric,automatic,1.0,True,False,comprehensive,232407.7
toyota,innova,2016.0,148331.0,electric,manual,1.0,True,False,comprehensive,1227750.35
nissan,magnite,2008.0,89655.0,diesel,automatic,1.0,False,False,nan,50000.0
hyundai,elantra,2021.0,29521.0,cng,automatic,1.0,False,False,third-party,1125571.85
ford,endeavour,2008.0,17714.0,diesel,manual,1.0,True,True,nan,2147342.9
honda,jazz,2006.0,153658.0,electric,manual,3.0,False,False,nan,50000.0
honda,city,2023.0,36712.0,electric,manual,1.0,True,False,third-party,944493.2
bmw,m3,2013.0,130416.0,cng,automatic,1.0,False,False,nan,6910437.6
bmw,x5,2009.0,18043.0,cng,manual,3.0,False,True,third-party,7147293.55
tata,harrier,2017.0,189218.0,diesel,manual,3.0,True,True,nan,1241617.3
bmw,x5,2006.0,189308.0,petrol,manual,2.0,False,False,third-party,7071603.8
toyota,corolla,2018.0,178960.0,petrol,automatic,2.0,True,False,nan,843156.0
tata,altroz,2021.0,157707.0,electric,automatic,3.0,False,True,comprehensive,326343.95
nissan,kicks,2009.0,143432.0,petrol,automatic,2.0,True,False,comprehensive,398485.2
toyota,innova,2015.0,69254.0,petrol,automatic,3.0,False,True,third-party,1039611.9
tata,harrier,2016.0,151685.0,petrol,automatic,2.0,False,True,comprehensive,1227247.25
toyota,fortuner,2000.0,49582.0,petrol,automatic,1.0,True,False,nan,2292562.7
audi,q5,2016.0,124596.0,electric,automatic,2.0,False,False,nan,5581310.6
audi,a4,2020.0,128281.0,cng,automatic,1.0,True,True,nan,4230757.85
audi,a6,2004.0,69219.0,electric,manual,1.0,False,False,third-party,4519617.15
audi,q5,2006.0,45811.0,diesel,automatic,1.0,True,False,nan,5143128.35
maruti,vitara brezza,2018.0,154827.0,electric,automatic,2.0,False,True,comprehensive,376775.95
maruti,vitara brezza,2000.0,78298.0,electric,automatic,1.0,False,True,comprehensive,50000.0
bmw,m3,2006.0,75113.0,electric,manual,2.0,False,False,nan,6538733.05
audi,q5,2004.0,68353.0,petrol,automatic,3.0,False,True,comprehensive,4889747.05
bmw,x5,2015.0,36138.0,cng,automatic,3.0,False,False,comprehensive,7494579.3
bmw,m3,2001.0,59843.0,cng,manual,2.0,False,True,nan,6241023.55
bmw,m3,2010.0,92542.0,petrol,automatic,3.0,True,False,comprehensive,6756118.7
hyundai,verna,2005.0,151037.0,cng,automatic,2.0,False,False,comprehensive,50000.0
toyota,innova,2016.0,139507.0,diesel,automatic,1.0,True,False,third-party,1229073.95
hyundai,verna,2002.0,23019.0,cng,manual,3.0,True,False,comprehensive,50000.0
honda,jazz,2021.0,87177.0,diesel,manual,1.0,True,False,nan,636923.45
maruti,swift,2016.0,46643.0,electric,automatic,2.0,True,True,comprehensive,163003.55
toyota,fortuner,2015.0,103223.0,cng,manual,3.0,True,False,nan,3054516.55
toyota,corolla,2018.0,112299.0,diesel,manual,1.0,True,True,third-party,833155.15
nissan,terrano,2010.0,88148.0,cng,automatic,3.0,True,True,comprehensive,506777.8000000001
maruti,vitara brezza,2016.0,78818.0,cng,automatic,1.0,False,False,comprehensive,368177.3
toyota,innova,2011.0,103803.0,cng,manual,3.0,True,False,third-party,904429.55
honda,civic,2004.0,123425.0,diesel,manual,3.0,False,True,comprehensive,50000.0
honda,civic,2015.0,55415.0,diesel,automatic,2.0,False,False,third-party,191687.75
honda,city,2003.0,6550.0,diesel,manual,1.0,True,True,comprehensive,50000.0
toyota,corolla,2021.0,31169.0,petrol,automatic,1.0,True,True,third-party,995324.65
tata,harrier,2012.0,91101.0,petrol,manual,2.0,True,False,comprehensive,1106334.85
maruti,dzire,2005.0,21344.0,petrol,automatic,2.0,False,True,comprehensive,50000.0
tata,harrier,2023.0,179680.0,electric,automatic,1.0,False,False,comprehensive,1603048.0
ford,endeavour,2003.0,143460.0,petrol,manual,3.0,False,False,third-party,1878481.0
tata,altroz,2023.0,50691.0,petrol,automatic,2.0,False,True,comprehensive,442396.35
bmw,x5,2014.0,118828.0,petrol,manual,1.0,True,False,nan,7482175.8
mercedes,c-class,2013.0,103938.0,diesel,manual,2.0,False,False,nan,4384409.3
tata,harrier,2007.0,172858.0,cng,manual,3.0,False,True,third-party,774071.3
bmw,3 series,2016.0,22472.0,cng,automatic,3.0,False,True,third-party,3496629.2
hyundai,creta,2012.0,180798.0,petrol,manual,2.0,True,False,third-party,842880.3
honda,city,2003.0,153654.0,diesel,automatic,2.0,True,True,comprehensive,50000.0
honda,civic,2012.0,7042.0,petrol,manual,2.0,False,False,nan,50000.0
hyundai,verna,2005.0,127451.0,diesel,manual,1.0,False,True,third-party,50000.0
hyundai,verna,2022.0,191634.0,cng,manual,3.0,False,False,nan,721254.9
honda,city,2011.0,73775.0,electric,automatic,3.0,False,False,comprehensive,288933.75
tata,altroz,2003.0,88300.0,diesel,manual,1.0,True,True,nan,50000.0
nissan,magnite,2007.0,159086.0,electric,manual,2.0,False,True,third-party,50000.0
mercedes,e-class,2007.0,184603.0,diesel,automatic,3.0,True,False,third-party,5592309.55
bmw,x5,2017.0,34542.0,electric,automatic,2.0,True,False,nan,7614818.7
ford,ecosport,2019.0,35255.0,cng,automatic,2.0,False,False,comprehensive,494711.75
toyota,fortuner,2010.0,144049.0,electric,manual,3.0,True,True,comprehensive,2698392.65
maruti,vitara brezza,2003.0,74891.0,cng,manual,3.0,False,False,third-party,50000.0
hyundai,verna,2010.0,51226.0,electric,manual,2.0,True,False,third-party,162316.1
audi,q5,2001.0,155947.0,cng,manual,1.0,True,True,third-party,4776607.95
audi,q5,2005.0,141725.0,electric,manual,1.0,True,False,comprehensive,5078741.25
nissan,terrano,2017.0,186275.0,diesel,manual,1.0,True,False,nan,972058.75
tata,nexon,2008.0,168848.0,electric,manual,3.0,True,False,comprehensive,50000.0
hyundai,creta,2003.0,67884.0,cng,manual,1.0,False,False,comprehensive,419817.4
hyundai,elantra,2023.0,53551.0,petrol,manual,1.0,False,True,nan,1171967.35
ford,ecosport,2004.0,22028.0,diesel,manual,2.0,False,False,nan,50000.0
nissan,terrano,2000.0,153424.0,electric,manual,2.0,False,False,third-party,50000.0
ford,endeavour,2019.0,39073.0,cng,automatic,2.0,True,True,nan,2664139.05
nissan,kicks,2010.0,131810.0,diesel,manual,3.0,True,True,third-party,450228.5
audi,q5,2014.0,193103.0,petrol,manual,2.0,True,True,nan,5391034.55
nissan,terrano,2021.0,194525.0,electric,automatic,1.0,False,True,comprehensive,1100821.25
ford,fiesta,2015.0,127813.0,petrol,manual,1.0,True,True,comprehensive,80828.05
maruti,dzire,2011.0,133467.0,electric,automatic,3.0,False,False,comprehensive,50000.0
ford,fiesta,2016.0,110256.0,diesel,automatic,2.0,False,False,nan,183461.6
ford,fiesta,2002.0,149532.0,diesel,automatic,3.0,True,True,comprehensive,50000.0
honda,city,2017.0,175232.0,petrol,automatic,2.0,True,False,third-party,593715.2
ford,fiesta,2003.0,96145.0,petrol,automatic,1.0,False,True,third-party,50000.0
tata,harrier,2001.0,56685.0,electric,automatic,2.0,True,False,comprehensive,561497.25
bmw,3 series,2002.0,134420.0,electric,manual,1.0,False,False,comprehensive,2859837.0
bmw,x5,2020.0,194133.0,petrol,automatic,2.0,True,False,comprehensive,7790880.05
nissan,kicks,2001.0,195637.0,petrol,manual,2.0,True,True,nan,50000.0
bmw,3 series,2022.0,171257.0,electric,automatic,1.0,False,True,third-party,3854311.45
nissan,magnite,2020.0,21552.0,diesel,automatic,1.0,False,False,comprehensive,376767.2
ford,ecosport,2015.0,132289.0,electric,automatic,3.0,True,False,nan,300156.65
mercedes,c-class,2009.0,55968.0,diesel,manual,3.0,False,True,nan,4191604.8
toyota,corolla,2020.0,162563.0,cng,manual,1.0,False,True,nan,955615.55
ford,fiesta,2004.0,190451.0,petrol,manual,1.0,False,False,nan,50000.0
toyota,corolla,2008.0,25387.0,petrol,manual,3.0,False,False,nan,346191.95
honda,civic,2015.0,24905.0,electric,manual,2.0,False,False,comprehensive,196264.25
mercedes,c-class,2017.0,165697.0,cng,manual,2.0,False,False,third-party,4575145.45
hyundai,creta,2007.0,127606.0,electric,automatic,1.0,False,False,third-party,610859.1
mercedes,c-class,2021.0,168689.0,cng,automatic,1.0,False,False,comprehensive,4854696.65
honda,city,2021.0,182644.0,cng,manual,3.0,False,False,comprehensive,822603.4
toyota,fortuner,2017.0,64101.0,electric,manual,1.0,False,False,nan,3170384.85
ford,endeavour,2013.0,167215.0,diesel,automatic,3.0,True,True,third-party,2344917.75
mercedes,s-class,2018.0,169725.0,cng,manual,2.0,True,True,nan,9644541.25
toyota,corolla,2006.0,198899.0,diesel,automatic,3.0,False,False,comprehensive,220165.15
ford,ecosport,2000.0,18696.0,diesel,manual,1.0,False,True,comprehensive,50000.0
hyundai,elantra,2001.0,174087.0,petrol,manual,1.0,True,True,third-party,123886.95
bmw,m3,2004.0,20117.0,petrol,automatic,2.0,False,True,comprehensive,6446982.45
tata,altroz,2006.0,35670.0,electric,automatic,1.0,True,True,comprehensive,50000.0
honda,city,2007.0,78668.0,petrol,automatic,3.0,True,True,comprehensive,108199.8
maruti,dzire,2013.0,53125.0,diesel,manual,2.0,True,False,nan,112031.25
maruti,swift,2011.0,88443.0,cng,automatic,2.0,True,False,comprehensive,50000.0
mercedes,c-class,2013.0,155547.0,cng,automatic,3.0,True,False,comprehensive,4396667.95
honda,civic,2023.0,33197.0,cng,manual,3.0,True,False,third-party,615020.45
hyundai,creta,2005.0,76236.0,electric,manual,3.0,False,False,third-party,488564.6
ford,ecosport,2003.0,7993.0,diesel,manual,1.0,False,True,comprehensive,50000.0
nissan,kicks,2007.0,189260.0,electric,manual,1.0,True,False,nan,371611.0
hyundai,elantra,2006.0,182601.0,diesel,automatic,2.0,False,False,nan,322609.85
nissan,kicks,2000.0,51096.0,petrol,automatic,2.0,True,False,nan,50000.0
tata,nexon,2012.0,117679.0,petrol,manual,2.0,False,True,nan,232348.15
bmw,m3,2008.0,83949.0,diesel,manual,3.0,False,False,nan,6637407.65
toyota,innova,2023.0,196722.0,diesel,automatic,1.0,False,True,nan,1450491.7
hyundai,verna,2005.0,28892.0,cng,automatic,1.0,False,True,third-party,50000.0
mercedes,e-class,2024.0,42123.0,petrol,automatic,1.0,True,False,nan,6493681.55
tata,nexon,2012.0,140438.0,diesel,manual,2.0,True,True,comprehensive,248934.3
toyota,fortuner,2002.0,8426.0,electric,manual,2.0,True,False,comprehensive,2368736.1
honda,civic,2024.0,191687.0,diesel,automatic,1.0,False,False,nan,651246.95
tata,nexon,2018.0,97258.0,electric,manual,1.0,False,True,nan,515411.3000000001
audi,q5,2007.0,17023.0,cng,automatic,3.0,True,False,nan,5117446.55
hyundai,elantra,2015.0,72953.0,electric,automatic,1.0,True,True,comprehensive,789057.05
ford,ecosport,2020.0,52185.0,cng,automatic,2.0,False,True,comprehensive,542172.25
audi,a6,2010.0,19758.0,cng,automatic,1.0,False,True,nan,4777036.3
nissan,kicks,2017.0,167531.0,cng,automatic,1.0,False,False,third-party,854870.35
bmw,3 series,2023.0,174440.0,cng,automatic,2.0,False,False,third-party,3873834.0
nissan,kicks,2022.0,98453.0,petrol,automatic,2.0,False,True,third-party,985232.05
nissan,magnite,2016.0,143005.0,cng,manual,1.0,True,False,nan,228549.25
bmw,m3,2019.0,19579.0,electric,manual,3.0,False,True,comprehensive,7197063.15
tata,altroz,2001.0,102481.0,electric,manual,2.0,True,True,third-party,50000.0
bmw,x5,2024.0,139086.0,petrol,manual,2.0,False,False,comprehensive,7979137.1
honda,city,2007.0,14336.0,petrol,automatic,1.0,False,True,comprehensive,127849.6
nissan,terrano,2000.0,74786.0,diesel,manual,2.0,False,True,comprehensive,50000.0
maruti,dzire,2016.0,101428.0,diesel,manual,1.0,False,True,nan,164785.8
mercedes,e-class,2010.0,71726.0,electric,manual,1.0,True,False,comprehensive,5839241.1
bmw,x5,2011.0,123104.0,diesel,automatic,2.0,True,False,comprehensive,7301534.4
nissan,terrano,2014.0,87900.0,diesel,manual,1.0,True,True,nan,736815.0
ford,ecosport,2021.0,90222.0,electric,automatic,3.0,True,True,third-party,556466.7
ford,endeavour,2005.0,99179.0,cng,automatic,3.0,True,False,comprehensive,2005123.15
bmw,m3,2016.0,136926.0,petrol,manual,3.0,False,False,nan,7029461.1
tata,nexon,2017.0,38637.0,electric,manual,1.0,True,True,third-party,544204.45
bmw,3 series,2017.0,100879.0,electric,manual,3.0,False,False,comprehensive,3584868.15
ford,ecosport,2021.0,103538.0,petrol,automatic,1.0,False,False,nan,614469.3
nissan,terrano,2015.0,49576.0,electric,automatic,3.0,False,True,third-party,792563.6
mercedes,s-class,2001.0,199478.0,cng,automatic,3.0,True,True,third-party,8790078.3
nissan,terrano,2006.0,180523.0,electric,manual,3.0,False,False,third-party,372921.55
mercedes,s-class,2003.0,38561.0,petrol,manual,3.0,False,True,nan,8844215.85
ford,ecosport,2012.0,18564.0,cng,manual,1.0,True,False,comprehensive,247215.4
ford,endeavour,2024.0,16776.0,electric,automatic,3.0,False,True,comprehensive,2897483.6
hyundai,verna,2021.0,131273.0,cng,automatic,3.0,False,True,third-party,630309.05
honda,jazz,2011.0,95578.0,cng,manual,3.0,True,False,comprehensive,55663.3
audi,a4,2016.0,111703.0,cng,automatic,1.0,True,True,third-party,4033244.55
audi,a6,2012.0,98449.0,petrol,manual,1.0,False,False,comprehensive,4865232.65
honda,jazz,2001.0,7169.0,cng,automatic,2.0,False,False,nan,50000.0
maruti,swift,2003.0,162491.0,electric,manual,3.0,True,False,nan,50000.0
tata,harrier,2009.0,120886.0,electric,automatic,2.0,True,True,comprehensive,901867.1
audi,a6,2010.0,136895.0,petrol,manual,1.0,False,False,third-party,4759465.75
nissan,terrano,2017.0,41190.0,petrol,manual,1.0,False,True,nan,873821.5
maruti,swift,2005.0,143454.0,diesel,automatic,1.0,True,False,third-party,50000.0
hyundai,verna,2016.0,148912.0,diesel,manual,3.0,True,True,comprehensive,397663.2
mercedes,s-class,2001.0,100729.0,cng,manual,1.0,True,False,third-party,8884890.65
audi,q5,2021.0,195368.0,petrol,manual,3.0,True,False,nan,5790694.8
maruti,dzire,2020.0,74074.0,cng,manual,1.0,True,False,third-party,438888.9
mercedes,c-class,2022.0,53564.0,cng,manual,1.0,True,False,nan,4941965.4
audi,q5,2020.0,30490.0,petrol,automatic,2.0,True,True,nan,5715426.5
hyundai,creta,2002.0,138110.0,cng,manual,1.0,True,True,nan,379283.5
maruti,swift,2020.0,84191.0,electric,manual,1.0,True,True,third-party,337371.35
nissan,magnite,2005.0,103054.0,diesel,manual,3.0,True,True,nan,50000.0
toyota,corolla,2000.0,10542.0,electric,manual,1.0,False,True,nan,50000.0
hyundai,elantra,2020.0,146052.0,petrol,manual,2.0,True,True,third-party,998092.2
mercedes,s-class,2023.0,78800.0,petrol,automatic,2.0,True,False,nan,9958180.0
nissan,magnite,2018.0,45662.0,electric,manual,1.0,True,False,third-party,293150.7
honda,civic,2009.0,128541.0,diesel,manual,1.0,True,False,comprehensive,50000.0
bmw,3 series,2016.0,118863.0,cng,automatic,1.0,True,True,comprehensive,3532170.55
tata,harrier,2013.0,62757.0,electric,manual,1.0,True,False,comprehensive,1140586.45
toyota,innova,2012.0,81386.0,petrol,manual,2.0,True,True,nan,907792.1
honda,jazz,2022.0,114287.0,cng,manual,2.0,False,False,nan,632856.95
mercedes,e-class,2002.0,53053.0,electric,automatic,1.0,False,False,third-party,5372042.05
nissan,magnite,2004.0,175695.0,cng,automatic,3.0,True,False,comprehensive,50000.0
honda,jazz,2003.0,85644.0,electric,manual,1.0,True,True,comprehensive,50000.0
toyota,innova,2000.0,97096.0,petrol,manual,1.0,True,True,nan,335435.6
nissan,terrano,2002.0,53321.0,petrol,manual,1.0,True,False,third-party,192001.85
audi,a6,2018.0,13761.0,diesel,automatic,3.0,False,False,third-party,5147935.85
maruti,dzire,2011.0,102873.0,diesel,automatic,1.0,True,True,third-party,50000.0
honda,civic,2001.0,186273.0,electric,automatic,1.0,False,True,nan,50000.0
ford,ecosport,2008.0,80176.0,cng,manual,1.0,False,False,comprehensive,50000.0
hyundai,creta,2007.0,91229.0,petrol,automatic,2.0,False,True,third-party,536315.65
bmw,3 series,2014.0,163618.0,petrol,manual,3.0,False,True,nan,3375457.3
ford,ecosport,2003.0,43067.0,electric,automatic,3.0,True,True,third-party,50000.0
mercedes,e-class,2015.0,171788.0,petrol,manual,3.0,True,True,third-party,5944231.8
bmw,m3,2021.0,82982.0,cng,automatic,2.0,False,True,nan,7287552.7
bmw,m3,2021.0,56587.0,petrol,manual,2.0,True,False,nan,7361511.95
hyundai,creta,2014.0,61242.0,electric,automatic,1.0,True,False,third-party,1040813.7
mercedes,c-class,2007.0,137631.0,diesel,manual,1.0,False,False,third-party,4109355.35
audi,a4,2021.0,135931.0,electric,manual,2.0,False,True,comprehensive,4229610.35
mercedes,s-class,2019.0,160130.0,electric,manual,3.0,False,False,third-party,9675980.5
tata,nexon,2010.0,123159.0,cng,manual,3.0,True,False,comprehensive,151526.15
mercedes,e-class,2004.0,181461.0,electric,manual,2.0,False,True,comprehensive,5372780.85
audi,q5,2022.0,161551.0,diesel,automatic,3.0,True,True,third-party,5845767.35
bmw,3 series,2021.0,78594.0,electric,manual,3.0,True,False,nan,3858210.9
maruti,swift,2010.0,185733.0,petrol,manual,2.0,False,False,third-party,50000.0
audi,q5,2000.0,134346.0,petrol,manual,2.0,True,False,nan,4799848.1
audi,a4,2016.0,56657.0,cng,automatic,2.0,False,False,nan,4041501.45
toyota,innova,2008.0,162141.0,diesel,manual,1.0,True,False,third-party,825678.85
bmw,x5,2010.0,9773.0,electric,automatic,3.0,True,False,third-party,7268534.05
audi,a4,2021.0,146667.0,electric,automatic,1.0,True,True,third-party,4327999.95
tata,nexon,2019.0,40648.0,petrol,manual,2.0,True,False,comprehensive,663902.8
hyundai,creta,2006.0,188694.0,electric,manual,2.0,False,False,third-party,521695.9
bmw,m3,2015.0,131332.0,petrol,manual,2.0,False,False,nan,7030300.2
mercedes,c-class,2016.0,156827.0,cng,automatic,1.0,False,False,comprehensive,4556475.95
bmw,m3,2004.0,138725.0,cng,manual,3.0,True,True,comprehensive,6399191.25
ford,endeavour,2006.0,64513.0,electric,automatic,1.0,True,True,comprehensive,2090323.05
maruti,swift,2004.0,151689.0,electric,automatic,2.0,False,False,comprehensive,50000.0
honda,city,2002.0,130741.0,petrol,automatic,2.0,False,True,comprehensive,50000.0
hyundai,creta,2012.0,61505.0,electric,automatic,1.0,True,False,third-party,890774.25
tata,nexon,2016.0,79360.0,diesel,automatic,3.0,True,True,nan,408096.0
nissan,kicks,2007.0,132146.0,electric,automatic,2.0,True,True,comprehensive,250178.1
